"SY","ATTEND_PERIOD","DIST_CODE","DIST_NAME","ORG_CODE","ORG_NAME","ORG_TYPE","STU_GRP","ATTEND_RATE","CNT_AVG_ABS","PCT_ABS_10_DAYS","PCT_CHRON_ABS_10","PCT_CHRON_ABS_20","PCT_UNEXC_10_DAYS","DISTRICT_AND_SCHOOL"
"2026","March","02810000","Springfield","02810035","Daniel B Brunton","School","Black or African American","94%","5.9","19%","19%","3.2%","12.7%","Springfield - Daniel B Brunton"
"2026","March","02810000","Springfield","02810035","Daniel B Brunton","School","Hispanic or Latino","90.8%","9.6","40.2%","36.7%","8.9%","34.3%","Springfield - Daniel B Brunton"
"2026","March","02810000","Springfield","02810035","Daniel B Brunton","School","Multi-Race, Not Hispanic or Latino","90.4%","10.1","21.4%","14.3%","14.3%","14.3%","Springfield - Daniel B Brunton"
"2026","March","02810000","Springfield","02810035","Daniel B Brunton","School","White","92.1%","8.3","26.2%","24.6%","6.6%","23%","Springfield - Daniel B Brunton"
"2026","March","02810000","Springfield","02810035","Daniel B Brunton","School","High Needs","91.1%","9.2","35.2%","32.6%","8.6%","29.2%","Springfield - Daniel B Brunton"
"2026","March","02810000","Springfield","02810035","Daniel B Brunton","School","English Learners","90.8%","9.6","37%","34.8%","8.7%","37%","Springfield - Daniel B Brunton"
"2026","March","02810000","Springfield","02810035","Daniel B Brunton","School","Low Income","90.9%","9.4","36.8%","34%","8.9%","31.2%","Springfield - Daniel B Brunton"
"2026","March","02810000","Springfield","02810035","Daniel B Brunton","School","Students with Disabilities","90.6%","9.8","39.2%","37.1%","8.2%","30.9%","Springfield - Daniel B Brunton"
"2026","March","02810000","Springfield","02810035","Daniel B Brunton","School","Female","92.5%","7.9","29.8%","26.5%","4%","24.5%","Springfield - Daniel B Brunton"
"2026","March","02810000","Springfield","02810035","Daniel B Brunton","School","Male","91.1%","9.2","34%","32.1%","10.7%","28.3%","Springfield - Daniel B Brunton"
"2026","March","02810000","Springfield","02810001","Early Childhood Education Center","School","All Students","94.9%","4.9","15%","12.3%","2.1%","0%","Springfield - Early Childhood Education Center"
"2026","March","02810000","Springfield","02810001","Early Childhood Education Center","School","American Indian or Alaska Native",,,,,,,"Springfield - Early Childhood Education Center"
